DIVORCE	BIRTH	MARRIAGE	UNEMPLOY	CRIME	AFDC	STATE	TIME	STATE Name	Region
2.60	19.90	8.80	4.90	6.799	114.00	1.00	1.00	Maine	New England
2.30	19.50	13.40	2.80	6.106	188.00	2.00	1.00	New Hampshire	New England
1.50	20.50	9.00	4.20	5.793	113.00	3.00	1.00	Vermont	New England
1.50	18.80	7.10	4.90	15.072	188.00	4.00	1.00	Massachusetts	New England
1.30	19.40	7.10	4.90	14.180	172.00	5.00	1.00	Rhode Island	New England
1.30	19.20	7.40	3.90	11.749	197.00	6.00	1.00	Connecticut	New England
0.50	18.60	7.40	4.60	22.509	218.00	7.00	1.00	New York	Middle Atlantic
0.80	18.50	6.80	5.10	13.966	203.00	8.00	1.00	New Jersey	Middle Atlantic
1.40	17.80	6.90	4.40	9.688	148.00	9.00	1.00	Pennsylvania	Middle Atlantic
2.50	19.10	7.70	3.60	10.387	138.00	10.00	1.00	Ohio	East North Central
3.80	20.10	10.20	3.10	12.179	131.00	11.00	1.00	Indiana	East North Central
2.30	19.60	9.50	3.40	16.131	214.00	12.00	1.00	Illinois	East North Central
2.40	20.30	9.80	3.90	19.208	147.00	13.00	1.00	Michigan	East North Central
1.30	20.00	6.90	3.40	7.376	203.00	14.00	1.00	Wisconsin	East North Central
1.40	19.90	7.40	4.00	11.502	188.00	15.00	1.00	Minnesota	West North Central
1.90	18.50	7.30	2.30	7.065	167.00	16.00	1.00	Iowa	West North Central
2.90	18.10	8.90	3.70	16.025	100.00	17.00	1.00	Missouri	West North Central
1.10	20.20	7.60	5.00	5.017	185.00	18.00	1.00	North Dakota	West North Central
1.50	19.70	12.10	3.90	6.233	122.00	19.00	1.00	South Dakota	West North Central
1.70	18.80	8.30	3.10	8.514	139.00	20.00	1.00	Nebraska	West North Central
2.60	17.60	8.40	3.60	9.965	168.00	21.00	1.00	Kansas	West North Central
1.50	21.20	6.20	3.00	12.875	128.00	22.00	1.00	Delaware	South Atlantic
2.00	21.00	13.40	4.00	17.183	159.00	23.00	1.00	Maryland	South Atlantic
						24.00	1.00	Dist of Columbia	South Atlantic
2.00	20.00	10.40	3.00	11.585	110.00	25.00	1.00	Virginia	South Atlantic
2.10	17.70	7.80	7.80	5.288	123.00	26.00	1.00	West Virgina	South Atlantic
2.30	19.90	8.20	4.20	9.800	106.00	27.00	1.00	North Carolina	South Atlantic
1.20	20.80	18.20	4.70	10.968	64.00	28.00	1.00	South Carolina	South Atlantic
2.70	21.70	12.60	3.80	11.998	92.00	29.00	1.00	Georgia	South Atlantic
4.40	18.40	8.50	3.10	20.108	60.00	30.00	1.00	Florida	South Atlantic
2.60	19.40	8.90	4.60	10.517	99.00	31.00	1.00	Kentucky	East South Central
2.90	19.00	10.40	4.00	10.830	98.00	32.00	1.00	Tennessee	East South Central
3.20	20.40	11.60	4.50	10.679	48.00	33.00	1.00	Alabama	East South Central
2.50	22.50	10.10	4.70	6.908	33.00	34.00	1.00	Mississippi	East South Central
