UTILNAME	ID	MONTH	PCAPITAL	PFUEL	WAGE	TC	Q	FXK	FXW	KXW	QXF	QXK	QXW
Alabama Power Co	1	1	639.375	352.8977059	15.65143	277571646.1	3541670	16.45906477	16.13528861	7.717406639	88.46260668	42.3111061	41.47877889
Alabama Power Co	1	2	639.375	358.590485	15.65143	340704236.3	3036941	16.50396471	16.1793053	7.717406639	87.79955934	41.87972782	41.05588651
Alabama Power Co	1	3	639.375	321.1644141	15.65143	263454894.7	3198693	16.19469228	15.87611675	7.717406639	86.45377423	42.02532279	41.1986174
Alabama Power Co	1	4	639.375	293.2939024	15.65143	182019703.1	3165330	15.93999137	15.62642621	7.717406639	85.03451143	41.99590452	41.16977783
Alabama Power Co	1	5	639.375	308.6995508	15.65143	242016656.8	3435970	16.08362725	15.76723654	7.717406639	86.27105545	42.22609423	41.39543934
Alabama Power Co	1	6	639.375	296.3026052	15.65143	184796091.9	3880306	15.96862708	15.65449862	7.717406639	86.34636131	42.56731553	41.72994827
Alabama Power Co	1	7	639.375	286.6998387	15.65143	218042661.2	3957943	15.87619023	15.56388014	7.717406639	85.95862815	42.62289876	41.78443809
Alabama Power Co	1	8	639.375	329.4569211	15.65143	240569101.3	4152961	16.26621779	15.94623524	7.717406639	88.34919909	42.75784756	41.91673223
Alabama Power Co	1	9	639.375	296.455401	15.65143	183998350.5	4312895	15.97007357	15.65591665	7.717406639	86.95578988	42.86387091	42.02066993
Alabama Power Co	1	10	639.375	321.1842416	15.65143	238133955.5	3376525	16.19486549	15.87628656	7.717406639	86.76699253	42.17712762	41.34743598
Alabama Power Co	1	11	639.375	332.5133569	15.65143	240763632.1	3083064	16.29212734	15.9716351	7.717406639	86.76012914	41.9220194	41.09734615
Alabama Power Co	1	12	639.375	343.9016027	15.65143	273199683	3351887	16.3866127	16.06426179	7.717406639	87.75154129	42.15657938	41.32729195
Appalachian Power Co	2	1	666.1875	425.4149702	16.31295	400036591.5	2667875	17.09141038	16.8999112	7.88336503	89.56595019	41.78016506	41.31204293
Appalachian Power Co	2	2	666.1875	735.3432159	16.31295	634358302.9	2157712	18.63668614	18.42787306	7.88336503	96.26300924	41.18090234	40.7194946
Appalachian Power Co	2	3	666.1875	441.5872319	16.31295	435572326.6	2210124	17.19676013	17.00408057	7.88336503	88.97161211	41.24866927	40.78650224
Appalachian Power Co	2	4	666.1875	474.1447295	16.31295	465275975.7	1818897	17.39762236	17.20269226	7.88336503	88.81044591	40.69858096	40.24257734
Appalachian Power Co	2	5	666.1875	461.0274996	16.31295	468372794.4	1855093	17.31840661	17.12436407	7.88336503	88.52692665	40.75421866	40.29759166
Appalachian Power Co	2	6	666.1875	407.9327538	16.31295	371149232.9	2038248	16.97292453	16.78275291	7.88336503	87.32689743	41.02007656	40.56047078
Appalachian Power Co	2	7	666.1875	414.6192963	16.31295	417070030.3	2130613	17.01883168	16.8281457	7.88336503	87.83022027	41.14521584	40.68420795
