CONT_ID	PERIOD	LP_RPED	LP_UECC	LP_CACC	LS_RPED	LS_UECC	LS_CACC
1	1	61996	0.3151	0.2928	61996	0.5426	0.5230
1	2	61995	0.0995	0.2662	61995	0.4167	0.5230
1	3	111994	0.1395	0.2662	61994	0.4977	0.5230
1	4	61994	0.1431	0.2420	61993	0.5825	0.5230
1	5	61993	0.1200	0.2420	61992	0.5288	0.5230
1	6	61992	0.1851	0.2420	61991	0.5439	0.4750
1	7	61991	0.1112	0.2320	61990	0.6446	0.4750
2	1	0	0.0000	0.0000	0	0.0000	0.0000
2	2	0	0.0000	0.0000	0	0.0000	0.0000
2	3	0	0.0000	0.0000	0	0.0000	0.0000
2	4	0	0.0000	0.0000	0	0.0000	0.0000
2	5	0	0.0000	0.0000	0	0.0000	0.0000
2	6	0	0.0000	0.0000	0	0.0000	0.0000
2	7	0	0.0000	0.0000	0	0.0000	0.0000
3	1	0	0.0000	0.0000	0	0.0000	0.0000
3	2	0	0.0000	0.0000	0	0.0000	0.0000
3	3	0	0.0000	0.0000	0	0.0000	0.0000
3	4	0	0.0000	0.0000	0	0.0000	0.0000
3	5	0	0.0000	0.0000	0	0.0000	0.0000
3	6	0	0.0000	0.0000	0	0.0000	0.0000
3	7	0	0.0000	0.0000	0	0.0000	0.0000
4	1	101996	0.4152	0.2662	101996	0.5410	0.5230
4	2	101995	0.2138	0.2420	101995	0.5636	0.5230
4	3	101994	0.2449	0.2420	101994	0.3929	0.5230
4	4	101993	0.2371	0.2420	101993	0.5260	0.5230
4	5	101992	0.3476	0.2420	101992	0.6930	0.5230
4	6	101991	0.3876	0.2410	101991	0.6861	0.4750
4	7	101990	0.3196	0.2320	101990	0.6701	0.4750
5	1	0	0.0000	0.0000	0	0.0000	0.0000
5	2	0	0.0000	0.0000	0	0.0000	0.0000
5	3	0	0.0000	0.0000	0	0.0000	0.0000
5	4	0	0.0000	0.0000	0	0.0000	0.0000
5	5	0	0.0000	0.0000	0	0.0000	0.0000
5	6	0	0.0000	0.0000	0	0.0000	0.0000
5	7	0	0.0000	0.0000	0	0.0000	0.0000
6	1	0	0.0000	0.0000	0	0.0000	0.0000
6	2	0	0.0000	0.0000	0	0.0000	0.0000
6	3	0	0.0000	0.0000	0	0.0000	0.0000
6	4	0	0.0000	0.0000	0	0.0000	0.0000
6	5	0	0.0000	0.0000	0	0.0000	0.0000
6	6	0	0.0000	0.0000	0	0.0000	0.0000
6	7	0	0.0000	0.0000	0	0.0000	0.0000
7	1	0	0.0000	0.0000	0	0.0000	0.0000
7	2	0	0.0000	0.0000	0	0.0000	0.0000
7	3	0	0.0000	0.0000	0	0.0000	0.0000
7	4	0	0.0000	0.0000	0	0.0000	0.0000
7	5	0	0.0000	0.0000	0	0.0000	0.0000
7	6	0	0.0000	0.0000	0	0.0000	0.0000
7	7	0	0.0000	0.0000	0	0.0000	0.0000
8	1	0	0.0000	0.0000	0	0.0000	0.0000
8	2	0	0.0000	0.0000	0	0.0000	0.0000
8	3	0	0.0000	0.0000	0	0.0000	0.0000
