NARSP	YPC	POP	PERYPC	PERPOP	REGTEST	RCDUM	SREG1	AJPARK	AJWTR	MSA	TIME
4.223909811	13585	8280	6.465517241	0.363636364	20	0	1	0	0	1	1
4.271095053	14296	8353	5.233713655	0.881642512	20	0	1	0	0	1	2
4.32677812	15413	8357	7.81337437	0.047886987	20	0	1	0	0	1	3
4.363098625	16490	8375	6.987607863	0.215388297	20	0	1	0	0	1	4
4.391977003	17634	8415	6.937537902	0.47761194	20	0	1	0	0	1	5
4.454347296	18210	8506	3.266417149	1.081402258	20	0	1	0	0	1	6
4.509760018	17958	8632	-1.383855025	1.481307312	20	0	1	0	0	1	7
4.569543008	18659	8685	3.903552734	0.613994439	20	0	1	0	0	1	8
4.607168158	19360	8738	3.756900155	0.610247553	20	0	1	0	0	1	9
4.361823947	15354	20096	5.707401033	4.346020043	18	0	1	1	0	2	1
4.393213843	15959	20957	3.940341279	4.284434713	18	0	1	1	0	2	2
4.382026635	16490	21536	3.327276145	2.762800019	18	0	1	1	0	2	3
4.366913036	17148	22098	3.99029715	2.609583952	18	0	1	1	0	2	4
4.430816799	17834	22492	4.000466527	1.782966784	18	0	1	1	0	2	5
4.448516376	18156	22856	1.80553998	1.618353192	18	0	1	1	0	2	6
4.463606657	19103	23491	5.215906587	2.778263913	18	0	1	1	0	2	7
4.489759317	19833	24089	3.821389311	2.545655783	18	0	1	1	0	2	8
4.515245495	20563	24687	3.68073413	2.482460874	18	0	1	1	0	2	9
4.911183238	17152	83208	3.976721629	2.503202917	25	1	6	1	1	3	1
4.991112669	17974	84660	4.79244403	1.745024517	25	1	6	1	1	3	2
5.186826956	18903	85703	5.168576833	1.231986771	25	1	6	1	1	3	3
5.369707377	19856	87414	5.0415278	1.99642953	25	1	6	1	1	3	4
5.360352772	20744	89068	4.472199839	1.892145423	25	1	6	1	1	3	5
5.388614977	20967	89774	1.075009641	0.792652805	25	1	6	1	1	3	6
5.362230678	21891	88505	4.406925168	-1.41354958	25	1	6	1	1	3	7
5.287761822	22711	89451	3.74583162	1.068866166	25	1	6	1	1	3	8
5.234844927	23531	90396	3.610585179	1.05644431	25	1	6	1	1	3	9
4.417635081	15646	11725	6.240239017	3.013530135	26	0	6	0	0	4	1
4.471638793	16276	12183	4.026588265	3.906183369	26	0	6	0	0	4	2
4.54965746	16942	12631	4.091914475	3.677255192	26	0	6	0	0	4	3
4.715816678	17914	13076	5.737221107	3.523078141	26	0	6	0	0	4	4
4.917788721	19026	13517	6.207435525	3.372591006	26	0	6	0	0	4	5
4.925077383	19540	13883	2.701566278	2.707701413	26	0	6	0	0	4	6
4.882801923	19828	13662	1.473899693	-1.591874955	26	0	6	0	0	4	7
4.862908335	20577	13956	3.777486383	2.151954326	26	0	6	0	0	4	8
4.823502192	21326	14249	3.639986393	2.099455431	26	0	6	0	0	4	9
4.774912961	16265	21972	5.520954976	3.334430701	26	0	6	0	1	5	1
4.861361567	16897	22767	3.885644021	3.618241398	26	0	6	0	1	5	2
5.033048849	17763	23592	5.125170149	3.623665832	26	0	6	0	1	5	3
5.203457052	18824	24396	5.973090131	3.407934893	26	0	6	0	1	5	4
5.210578435	19341	25191	2.746493838	3.258730939	26	0	6	0	1	5	5
5.233778845	19799	25488	2.368026472	1.178992497	26	0	6	0	1	5	6
5.213848227	20489	25629	3.485024496	0.553201507	26	0	6	0	1	5	7
5.178407035	21272	26189	3.82156279	2.185024777	26	0	6	0	1	5	8
5.168208716	22053	26749	3.671493042	2.138302341	26	0	6	0	1	5	9
5.113191864	23967	15759	4.934325744	0.60648621	29	1	6	1	1	6	1
5.174453362	24908	15803	3.926231902	0.279205533	29	1	6	1	1	6	2
5.360822543	26566	15836	6.656495905	0.20882111	29	1	6	1	1	6	3
5.562986688	27802	15957	4.652563427	0.764081839	29	1	6	1	1	6	4
5.557985645	29828	16067	7.287245522	0.689352635	29	1	6	1	1	6	5
5.554895694	30555	16223	2.437307228	0.970934213	29	1	6	1	1	6	6
5.540478936	30943	16050	1.26984127	-1.066387228	29	1	6	1	1	6	7
5.522260586	32163	16119	3.942733413	0.429906542	29	1	6	1	1	6	8
5.545958437	33383	16189	3.793178497	0.434270116	29	1	6	1	1	6	9
4.458987694	17402	16092	2.600082542	0.789177001	17	0	3	0	0	7	1
4.48751216	17700	16161	1.712446845	0.428784489	17	0	3	0	0	7	2
4.404277281	18488	16124	4.451977401	-0.228946229	17	0	3	0	0	7	3
4.448516376	19646	16159	6.263522285	0.217067725	17	0	3	0	0	7	4
4.458987694	20802	16262	5.884149445	0.637415682	17	0	3	0	0	7	5
4.489759317	21441	16691	3.071820017	2.6380519	17	0	3	0	0	7	6
4.566429326	22229	17457	3.675201716	4.589299623	17	0	3	0	0	7	7
4.651099088	23075	17730	3.805839219	1.563842585	17	0	3	0	0	7	8
4.760463097	23920	18004	3.661971831	1.545403271	17	0	3	0	0	7	9
4.395682942	14559	18072	4.952422145	1.562324379	24	0	2	0	1	8	1
4.395682942	15383	18375	5.659729377	1.676626826	24	0	2	0	1	8	2
4.417635081	16144	18722	4.947019437	1.888435374	24	0	2	0	1	8	3
4.46475805	17292	19046	7.111000991	1.730584339	24	0	2	0	1	8	4
4.492001522	17871	19483	3.348369188	2.294445028	24	0	2	0	1	8	5
4.540098157	18252	19666	2.13194561	0.939280398	24	0	2	0	1	8	6
4.57574136	18655	20136	2.207977208	2.389911522	24	0	2	0	1	8	7
4.593097636	19338	20457	3.661216832	1.594159714	24	0	2	0	1	8	8
4.636668823	20020	20778	3.526734926	1.569145036	24	0	2	0	1	8	9
4.283586562	14382	10521	5.82002796	4.478649454	20	0	2	0	0	9	1
4.333361423	15087	10985	4.901960784	4.410227165	20	0	2	0	0	9	2
4.370712855	15951	11411	5.726784649	3.878015476	20	0	2	0	0	9	3
4.379523543	17018	11860	6.689235785	3.934799755	20	0	2	0	0	9	4
4.416428098	17562	12387	3.196615348	4.443507589	20	0	2	0	0	9	5
4.457829633	17832	12688	1.537410318	2.429966901	20	0	2	0	0	9	6
4.47278098	18406	12596	3.218932257	-0.725094578	20	0	2	0	0	9	7
4.500920148	19117	12936	3.862870803	2.699269609	20	0	2	0	0	9	8
4.507557323	19827	13276	3.713971858	2.628324057	20	0	2	0	0	9	9
4.112511841	14726	19065	5.638450502	2.23068261	17	0	2	0	1	10	1
4.155753178	15398	19464	4.563357327	2.092840283	17	0	2	0	1	10	2
4.183575673	16224	19832	5.36433303	1.890669955	17	0	2	0	1	10	3
4.275276286	17472	20269	7.692307692	2.20350948	17	0	2	0	1	10	4
4.268297891	17977	20825	2.890338828	2.743105235	17	0	2	0	1	10	5
4.26689637	18445	21014	2.603326473	0.907563025	17	0	2	0	1	10	6
4.284964901	18950	21763	2.737869341	3.564290473	17	0	2	0	1	10	7
4.317488114	19693	22225	3.920844327	2.12286909	17	0	2	0	1	10	8
4.333361423	20436	22686	3.772914233	2.07424072	17	0	2	0	1	10	9
4.455509394	17331	73293	5.838167939	0.19822825	13	0	3	0	1	11	1
4.508659319	18301	73531	5.596907276	0.324724053	13	0	3	0	1	11	2
4.48863637	19730	73627	7.808316485	0.13055718	13	0	3	0	1	11	3
4.672828834	21146	73875	7.176887988	0.336832955	13	0	3	0	1	11	4
4.760463097	22395	74225	5.906554431	0.473773266	13	0	3	0	1	11	5
4.875960437	22849	74965	2.027238223	0.996968676	13	0	3	0	1	11	6
4.918520028	22787	74384	-0.271346667	-0.775028347	13	0	3	0	1	11	7
4.955827058	23653	74531	3.800412516	0.197623145	13	0	3	0	1	11	8
4.965637886	24519	74678	3.661269184	0.197233366	13	0	3	0	1	11	9
4.077537444	15011	13339	6.189869836	0.361146641	21	0	5	0	0	12	1
4.135166557	15863	13472	5.675837719	0.997076243	21	0	5	0	0	12	2
4.191168724	16937	13569	6.770472168	0.720011877	21	0	5	0	0	12	3
4.265492776	18072	13708	6.701304836	1.024393839	21	0	5	0	0	12	4
4.314817926	19253	13845	6.534971226	0.999416399	21	0	5	0	0	12	5
4.370712855	19844	14059	3.069651483	1.545684363	21	0	5	0	0	12	6
4.427238941	19628	13842	-1.088490224	-1.54349527	21	0	5	0	0	12	7
4.461299798	20379	13904	3.826166701	0.447912151	21	0	5	0	0	12	8
4.507557323	21130	13967	3.685166102	0.45310702	21	0	5	0	0	12	9
4.304065093	16875	22818	6.012061817	1.485500801	20	0	4	0	1	13	1
4.395682942	17917	23071	6.174814815	1.108773775	20	0	4	0	1	13	2
4.485259855	19193	23394	7.121727968	1.400026007	20	0	4	0	1	13	3
4.56746835	20499	23631	6.804564164	1.013080277	20	0	4	0	1	13	4
4.662495267	21551	23897	5.131957656	1.125640049	20	0	4	0	1	13	5
4.70138903	21874	24128	1.498770359	0.966648533	20	0	4	0	1	13	6
4.730921405	22055	23748	0.827466399	-1.574933687	20	0	4	0	1	13	7
4.751000607	22930	23871	3.967354341	0.517938353	20	0	4	0	1	13	8
4.566429326	23806	23994	3.820322721	0.515269574	20	0	4	0	1	13	9
3.919991205	14273	8851	6.395825568	1.073426973	18	0	5	0	0	14	1
3.979681654	14946	8994	4.715196525	1.615636651	18	0	5	0	0	14	2
4.058717411	15844	9154	6.008296534	1.778963754	18	0	5	0	0	14	3
4.162003163	16905	9273	6.696541277	1.299978152	18	0	5	0	0	14	4
4.223909811	17624	9419	4.253179533	1.574463496	18	0	5	0	0	14	5
4.25844553	18008	9530	2.178847027	1.178469052	18	0	5	0	0	14	6
4.291828346	18295	9452	1.593736117	-0.818467996	18	0	5	0	0	14	7
4.337290741	18993	9539	3.815250068	0.920440119	18	0	5	0	0	14	8
4.339901669	19691	9626	3.675038172	0.912045288	18	0	5	0	0	14	9
4.355425973	17352	23653	5.080845395	1.576054282	16	0	6	0	0	15	1
4.388257184	18264	24056	5.255878285	1.703800786	16	0	6	0	0	15	2
4.445001398	19191	24597	5.075558476	2.248919189	16	0	6	0	0	15	3
4.468204296	20313	25029	5.846490542	1.756311745	16	0	6	0	0	15	4
4.485259855	21138	25523	4.061438488	1.973710496	16	0	6	0	0	15	5
4.511957787	21665	25831	2.493140316	1.206754692	16	0	6	0	0	15	6
4.545420149	22247	25383	2.686360489	-1.734350199	16	0	6	0	0	15	7
4.587006184	23107	25637	3.865689756	1.00066974	16	0	6	0	0	15	8
4.620058798	23967	25890	3.7218159	0.986854936	16	0	6	0	0	15	9
4.180522282	16018	15139	4.569787178	1.447430141	19	0	2	0	0	16	1
4.245634053	16654	15348	3.97053315	1.380540326	19	0	2	0	0	16	2
4.25561271	17541	15546	5.326047796	1.290070367	19	0	2	0	0	16	3
4.271095053	18534	15700	5.661022747	0.990608517	19	0	2	0	0	16	4
4.305415512	19336	15880	4.327182475	1.146496815	19	0	2	0	0	16	5
4.338597057	19963	16022	3.242656185	0.894206549	19	0	2	0	0	16	6
4.375757022	20456	15771	2.469568702	-1.566595931	19	0	2	0	0	16	7
4.426043502	21238	15865	3.822839265	0.596030689	19	0	2	0	0	16	8
4.467056866	22020	15959	3.682079292	0.592499212	19	0	2	0	0	16	9
4.286341343	14969	8438	7.097374258	0.548141087	23	1	5	0	0	17	1
4.458987694	15895	8469	6.186117977	0.367385636	23	1	5	0	0	17	2
4.523960097	16984	8561	6.851211073	1.086314795	23	1	5	0	0	17	3
4.65300753	18294	8597	7.71314178	0.420511623	23	1	5	0	0	17	4
4.671893832	19306	8624	5.531868372	0.314063045	23	1	5	0	0	17	5
4.703203954	19783	8692	2.470734487	0.788497217	23	1	5	0	0	17	6
4.713127341	19545	8605	-1.203053126	-1.000920387	23	1	5	0	0	17	7
4.721173889	20300	8627	3.862880532	0.255665311	23	1	5	0	0	17	8
4.718498871	21056	8649	3.724137931	0.25501333	23	1	5	0	0	17	9
3.958906621	14256	11948	5.514025609	-0.541080496	17	1	5	0	1	18	1
4.037774224	14900	11920	4.517396184	-0.234348845	17	1	5	0	1	18	2
4.182050143	15748	11984	5.691275168	0.536912752	17	1	5	0	1	18	3
4.283586562	16884	11940	7.213614427	-0.367156208	17	1	5	0	1	18	4
4.346399418	17902	11883	6.029376925	-0.477386935	17	1	5	0	1	18	5
4.378269548	18466	11934	3.150485979	0.429184549	17	1	5	0	1	18	6
4.403053965	18439	11539	-0.146214665	-3.309870957	17	1	5	0	1	18	7
4.424846632	19132	11451	3.758338305	-0.762631077	17	1	5	0	1	18	8
4.410371145	19824	11362	3.616976793	-0.777224697	17	1	5	0	1	18	9
5.078916839	19159	168479	6.628450579	0.456732633	26	1	5	0	1	19	1
5.212214667	20449	168896	6.733128034	0.247508592	26	1	5	0	1	19	2
5.213848227	22246	169128	8.787715781	0.137362637	26	1	5	0	1	19	3
5.210578435	23794	169372	6.958554347	0.144269429	26	1	5	0	1	19	4
5.164214347	25110	169464	5.530806086	0.054318305	26	1	5	0	1	19	5
5.156177599	25583	169615	1.883711669	0.089104471	26	1	5	0	1	19	6
5.150976814	25294	167035	-1.129656412	-1.521091885	26	1	5	0	1	19	7
5.154446978	26295	166934	3.957460267	-0.060466369	26	1	5	0	1	19	8
5.154446978	27296	166833	3.806807378	-0.060502953	26	1	5	0	1	19	9
4.223909811	16007	10507	5.866402116	0.152511677	20	0	5	0	1	20	1
4.283586562	16565	10513	3.485974886	0.057104787	20	0	5	0	1	20	2
4.32677812	17812	10601	7.527920314	0.83705888	20	0	5	0	1	20	3
4.363098625	19279	10622	8.23602066	0.198094519	20	0	5	0	1	20	4
4.379523543	20161	10631	4.574926085	0.084729806	20	0	5	0	1	20	5
4.40060302	20784	10726	3.090124498	0.893613019	20	0	5	0	1	20	6
4.439115566	20687	10667	-0.466705158	-0.550065262	20	0	5	0	1	20	7
4.440295579	21466	10689	3.765649925	0.206243555	20	0	5	0	1	20	8
4.449685265	22254	10710	3.670921457	0.196463654	20	0	5	0	1	20	9
4.163559679	14033	7353	5.717944855	-0.14937534	21	0	5	0	0	21	1
4.2326562	14693	7344	4.703199601	-0.122399021	21	0	5	0	0	21	2
