WEEKEND	ZIP	NRETAIL	COUNTYCD	COUNTYNM	PERPERHH	MEDSCHYR	PRCRENT	PRC55P	HHMEDAGE	OLSALES	POPULATN	MEDHVL	MEDINC	TIME
04/04/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	665.00	0.435	71.30	54.20	1
04/11/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	746.50	0.435	71.30	54.20	2
04/18/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	796.00	0.435	71.30	54.20	3
04/25/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	963.00	0.435	71.30	54.20	4
05/02/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	989.00	0.435	71.30	54.20	5
05/09/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1705.00	0.435	71.30	54.20	6
05/16/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	3222.00	0.435	71.30	54.20	7
05/23/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	3369.50	0.435	71.30	54.20	8
05/30/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	591.50	0.435	71.30	54.20	9
06/06/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	995.50	0.435	71.30	54.20	10
06/13/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	829.00	0.435	71.30	54.20	11
06/20/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	898.50	0.435	71.30	54.20	12
06/27/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1007.00	0.435	71.30	54.20	13
07/04/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1159.00	0.435	71.30	54.20	14
07/11/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1177.50	0.435	71.30	54.20	15
07/18/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1668.00	0.435	71.30	54.20	16
07/25/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	4422.00	0.435	71.30	54.20	17
08/01/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	4246.50	0.435	71.30	54.20	18
08/08/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1054.00	0.435	71.30	54.20	19
08/15/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1164.50	0.435	71.30	54.20	20
08/22/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1099.00	0.435	71.30	54.20	21
08/29/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	771.00	0.435	71.30	54.20	22
09/05/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	952.50	0.435	71.30	54.20	23
09/12/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1050.50	0.435	71.30	54.20	24
09/19/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	917.50	0.435	71.30	54.20	25
09/26/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1157.00	0.435	71.30	54.20	26
10/03/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	943.50	0.435	71.30	54.20	27
10/10/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	992.50	0.435	71.30	54.20	28
10/17/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	972.00	0.435	71.30	54.20	29
10/24/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	988.50	0.435	71.30	54.20	30
10/31/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1223.00	0.435	71.30	54.20	31
11/07/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1071.00	0.435	71.30	54.20	32
11/14/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1111.00	0.435	71.30	54.20	33
11/21/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1016.50	0.435	71.30	54.20	34
11/28/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	788.00	0.435	71.30	54.20	35
12/05/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1005.00	0.435	71.30	54.20	36
12/12/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	897.00	0.435	71.30	54.20	37
12/19/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	1002.50	0.435	71.30	54.20	38
12/26/98	53003	1	27	DODGE   	3.0	12.6	21	38	48	818.00	0.435	71.30	54.20	39
01/02/99	53003	1	27	DODGE   	3.0	12.6	21	38	48	971.00	0.435	71.30	54.20	40
04/04/98	53033	5	131	WASHNGTN	3.2	12.9	6	28	46	2950.50	4.823	98.00	70.70	1
04/11/98	53033	5	131	WASHNGTN	3.2	12.9	6	28	46	2972.00	4.823	98.00	70.70	2
04/18/98	53033	5	131	WASHNGTN	3.2	12.9	6	28	46	2958.50	4.823	98.00	70.70	3
04/25/98	53033	5	131	WASHNGTN	3.2	12.9	6	28	46	3304.00	4.823	98.00	70.70	4
05/02/98	53033	5	131	WASHNGTN	3.2	12.9	6	28	46	3461.50	4.823	98.00	70.70	5
05/09/98	53033	5	131	WASHNGTN	3.2	12.9	6	28	46	4532.00	4.823	98.00	70.70	6
05/16/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	8191.00	4.823	98.00	70.70	7
05/23/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	9497.00	4.823	98.00	70.70	8
05/30/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2056.00	4.823	98.00	70.70	9
06/06/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2795.00	4.823	98.00	70.70	10
06/13/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2841.50	4.823	98.00	70.70	11
06/20/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2892.00	4.823	98.00	70.70	12
06/27/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2664.00	4.823	98.00	70.70	13
07/04/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	3054.00	4.823	98.00	70.70	14
07/11/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	3686.00	4.823	98.00	70.70	15
07/18/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	5104.00	4.823	98.00	70.70	16
07/25/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	10491.00	4.823	98.00	70.70	17
08/01/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	10067.00	4.823	98.00	70.70	18
08/08/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2865.00	4.823	98.00	70.70	19
08/15/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2891.00	4.823	98.00	70.70	20
08/22/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2986.50	4.823	98.00	70.70	21
08/29/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2763.00	4.823	98.00	70.70	22
09/05/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2816.50	4.823	98.00	70.70	23
09/12/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2568.00	4.823	98.00	70.70	24
09/19/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2826.00	4.823	98.00	70.70	25
09/26/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	3002.50	4.823	98.00	70.70	26
10/03/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2659.50	4.823	98.00	70.70	27
10/10/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2064.50	4.823	98.00	70.70	28
10/17/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2661.00	4.823	98.00	70.70	29
10/24/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2870.00	4.823	98.00	70.70	30
10/31/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2933.50	4.823	98.00	70.70	31
11/07/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2495.50	4.823	98.00	70.70	32
11/14/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2614.00	4.823	98.00	70.70	33
11/21/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2437.00	4.823	98.00	70.70	34
11/28/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2672.50	4.823	98.00	70.70	35
12/05/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2806.00	4.823	98.00	70.70	36
12/12/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2650.50	4.823	98.00	70.70	37
12/19/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2697.00	4.823	98.00	70.70	38
12/26/98	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2557.50	4.823	98.00	70.70	39
01/02/99	53033	6	131	WASHNGTN	3.2	12.9	6	28	46	2504.00	4.823	98.00	70.70	40
04/04/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1612.00	2.469	58.70	43.60	1
04/11/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1552.50	2.469	58.70	43.60	2
04/18/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1690.50	2.469	58.70	43.60	3
04/25/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1980.50	2.469	58.70	43.60	4
05/02/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	2090.50	2.469	58.70	43.60	5
05/09/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	2459.50	2.469	58.70	43.60	6
05/16/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	5719.50	2.469	58.70	43.60	7
05/23/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	7684.00	2.469	58.70	43.60	8
05/30/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1190.50	2.469	58.70	43.60	9
06/06/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1613.50	2.469	58.70	43.60	10
06/13/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1422.50	2.469	58.70	43.60	11
06/20/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1586.50	2.469	58.70	43.60	12
06/27/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1578.00	2.469	58.70	43.60	13
07/04/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1947.00	2.469	58.70	43.60	14
07/11/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	2278.00	2.469	58.70	43.60	15
07/18/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	3286.00	2.469	58.70	43.60	16
07/25/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	8322.50	2.469	58.70	43.60	17
08/01/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	9815.00	2.469	58.70	43.60	18
08/08/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1898.50	2.469	58.70	43.60	19
08/15/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1820.00	2.469	58.70	43.60	20
08/22/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	2221.00	2.469	58.70	43.60	21
08/29/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1715.50	2.469	58.70	43.60	22
09/05/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1704.50	2.469	58.70	43.60	23
09/12/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1810.00	2.469	58.70	43.60	24
09/19/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1905.50	2.469	58.70	43.60	25
09/26/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	2061.50	2.469	58.70	43.60	26
10/03/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1633.50	2.469	58.70	43.60	27
10/10/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1568.50	2.469	58.70	43.60	28
10/17/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1683.50	2.469	58.70	43.60	29
10/24/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1625.50	2.469	58.70	43.60	30
10/31/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1828.00	2.469	58.70	43.60	31
11/07/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1390.50	2.469	58.70	43.60	32
11/14/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1642.50	2.469	58.70	43.60	33
11/21/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1619.50	2.469	58.70	43.60	34
11/28/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1818.50	2.469	58.70	43.60	35
12/05/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1660.00	2.469	58.70	43.60	36
12/12/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1791.00	2.469	58.70	43.60	37
12/19/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1743.50	2.469	58.70	43.60	38
12/26/98	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1586.50	2.469	58.70	43.60	39
01/02/99	53038	3	55	JEFFERSN	2.8	12.4	25	35	45	1725.50	2.469	58.70	43.60	40
04/04/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	921.50	2.051	65.70	51.90	1
04/11/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	953.00	2.051	65.70	51.90	2
04/18/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	997.00	2.051	65.70	51.90	3
04/25/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	958.00	2.051	65.70	51.90	4
05/02/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1251.00	2.051	65.70	51.90	5
05/09/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1380.00	2.051	65.70	51.90	6
05/16/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	2799.50	2.051	65.70	51.90	7
05/23/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	3327.00	2.051	65.70	51.90	8
05/30/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	689.00	2.051	65.70	51.90	9
06/06/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	824.00	2.051	65.70	51.90	10
06/13/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	943.50	2.051	65.70	51.90	11
06/20/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	902.00	2.051	65.70	51.90	12
06/27/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	921.50	2.051	65.70	51.90	13
07/04/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	984.50	2.051	65.70	51.90	14
07/11/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1287.50	2.051	65.70	51.90	15
07/18/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1799.00	2.051	65.70	51.90	16
07/25/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	3692.50	2.051	65.70	51.90	17
08/01/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	3503.00	2.051	65.70	51.90	18
08/08/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	859.50	2.051	65.70	51.90	19
08/15/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	875.50	2.051	65.70	51.90	20
08/22/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	968.50	2.051	65.70	51.90	21
08/29/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	842.50	2.051	65.70	51.90	22
09/05/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	878.50	2.051	65.70	51.90	23
09/12/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	815.00	2.051	65.70	51.90	24
09/19/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1038.00	2.051	65.70	51.90	25
09/26/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1143.50	2.051	65.70	51.90	26
10/03/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	969.50	2.051	65.70	51.90	27
10/10/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	854.50	2.051	65.70	51.90	28
10/17/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	980.00	2.051	65.70	51.90	29
10/24/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1031.50	2.051	65.70	51.90	30
10/31/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1001.50	2.051	65.70	51.90	31
11/07/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	986.00	2.051	65.70	51.90	32
11/14/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	888.00	2.051	65.70	51.90	33
11/21/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	951.00	2.051	65.70	51.90	34
11/28/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	858.50	2.051	65.70	51.90	35
12/05/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	952.50	2.051	65.70	51.90	36
12/12/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1083.00	2.051	65.70	51.90	37
12/19/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	1110.00	2.051	65.70	51.90	38
12/26/98	53059	3	27	DODGE   	3.1	12.5	24	29	45	855.50	2.051	65.70	51.90	39
01/02/99	53059	3	27	DODGE   	3.1	12.5	24	29	45	877.00	2.051	65.70	51.90	40
04/04/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	9510.00	13.337	96.70	63.10	1
04/11/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	10131.50	13.337	96.70	63.10	2
04/18/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	9614.50	13.337	96.70	63.10	3
04/25/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	9841.50	13.337	96.70	63.10	4
05/02/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	11554.00	13.337	96.70	63.10	5
05/09/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	16006.00	13.337	96.70	63.10	6
05/16/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	36371.50	13.337	96.70	63.10	7
05/23/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	44093.50	13.337	96.70	63.10	8
05/30/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	7234.00	13.337	96.70	63.10	9
06/06/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	9944.00	13.337	96.70	63.10	10
06/13/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	9397.00	13.337	96.70	63.10	11
06/20/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	9942.00	13.337	96.70	63.10	12
06/27/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	10760.50	13.337	96.70	63.10	13
07/04/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	11881.50	13.337	96.70	63.10	14
07/11/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	13201.00	13.337	96.70	63.10	15
07/18/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	21428.50	13.337	96.70	63.10	16
07/25/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	47726.00	13.337	96.70	63.10	17
08/01/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	57778.00	13.337	96.70	63.10	18
08/08/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	10663.00	13.337	96.70	63.10	19
08/15/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	11248.50	13.337	96.70	63.10	20
08/22/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	12846.50	13.337	96.70	63.10	21
08/29/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	10669.50	13.337	96.70	63.10	22
09/05/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	10528.50	13.337	96.70	63.10	23
09/12/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	10284.00	13.337	96.70	63.10	24
09/19/98	53072	17	133	WAUKESHA	2.6	13.1	32	27	42	11206.50	13.337	96.70	63.10	25
09/26/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	12583.50	13.337	96.70	63.10	26
10/03/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11092.50	13.337	96.70	63.10	27
10/10/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11241.50	13.337	96.70	63.10	28
10/17/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	12161.50	13.337	96.70	63.10	29
10/24/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	12469.50	13.337	96.70	63.10	30
10/31/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	13067.50	13.337	96.70	63.10	31
11/07/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11719.00	13.337	96.70	63.10	32
11/14/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11979.00	13.337	96.70	63.10	33
11/21/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	12444.50	13.337	96.70	63.10	34
11/28/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11361.50	13.337	96.70	63.10	35
12/05/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11415.00	13.337	96.70	63.10	36
12/12/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11083.00	13.337	96.70	63.10	37
12/19/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11938.00	13.337	96.70	63.10	38
12/26/98	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	12103.50	13.337	96.70	63.10	39
01/02/99	53072	18	133	WAUKESHA	2.6	13.1	32	27	42	11335.00	13.337	96.70	63.10	40
04/04/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6602.50	17.004	66.40	55.70	1
04/11/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6542.00	17.004	66.40	55.70	2
04/18/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6957.50	17.004	66.40	55.70	3
04/25/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	7865.50	17.004	66.40	55.70	4
05/02/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	8437.50	17.004	66.40	55.70	5
05/09/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	11206.00	17.004	66.40	55.70	6
05/16/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	22329.50	17.004	66.40	55.70	7
05/23/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	28900.00	17.004	66.40	55.70	8
05/30/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	4776.00	17.004	66.40	55.70	9
06/06/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6321.50	17.004	66.40	55.70	10
06/13/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6814.00	17.004	66.40	55.70	11
06/20/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6806.00	17.004	66.40	55.70	12
06/27/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	7129.50	17.004	66.40	55.70	13
07/04/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	7308.50	17.004	66.40	55.70	14
07/11/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	9106.00	17.004	66.40	55.70	15
07/18/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	12537.50	17.004	66.40	55.70	16
07/25/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	28592.50	17.004	66.40	55.70	17
08/01/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	31679.00	17.004	66.40	55.70	18
08/08/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6486.00	17.004	66.40	55.70	19
08/15/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6917.50	17.004	66.40	55.70	20
08/22/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	8050.00	17.004	66.40	55.70	21
08/29/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6330.00	17.004	66.40	55.70	22
09/05/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6598.00	17.004	66.40	55.70	23
09/12/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6521.00	17.004	66.40	55.70	24
09/19/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6842.50	17.004	66.40	55.70	25
09/26/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	7500.00	17.004	66.40	55.70	26
10/03/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	5968.00	17.004	66.40	55.70	27
10/10/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6003.00	17.004	66.40	55.70	28
10/17/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6757.00	17.004	66.40	55.70	29
10/24/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6763.00	17.004	66.40	55.70	30
10/31/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6986.50	17.004	66.40	55.70	31
11/07/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	5963.50	17.004	66.40	55.70	32
11/14/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6124.50	17.004	66.40	55.70	33
11/21/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6799.00	17.004	66.40	55.70	34
11/28/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6336.50	17.004	66.40	55.70	35
12/05/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6311.00	17.004	66.40	55.70	36
12/12/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6584.50	17.004	66.40	55.70	37
12/19/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	6514.50	17.004	66.40	55.70	38
12/26/98	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	5790.00	17.004	66.40	55.70	39
01/02/99	53083	12	117	SHEBOYGN	2.7	12.8	25	38	48	7092.00	17.004	66.40	55.70	40
04/04/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	23891.00	38.283	91.00	54.90	1
