Name	COUNTRY	TIME	GNP_CAP	NEWMEAS	RISKAVER	PROTECT	POPDEN	URBAN	LEGALSYS	CPI	AUTO	TRANSPRT	FREIGHT	FIREPROP	PECLOSS	GENLIAB	ACCSICK	OTHERNL	MRATE	NUMACC	POPULATN
Australia	1	1	12610	835	28.80000043	17.95	2.1	85.3	1	8.5	77.63596	65.54079861		58.77277554		65.54081433		33.01056338	0.5548	32470	16263604
Australia	1	2	14840	835	31.30000047	20.66	2.199999951	85.30000127	1	7.199999839	95.64087495	46.41323727		67.73568201		46.41325253		41.26152461	0.55825	30480	16531286
Australia	1	3	16340	835	32.70000049	17.11	2.199999951	85.20000127	1	7.59999983	132.7125763	46.38500391		77.78550861		46.38497814		48.53243083	0.56438	31289	16791315
Australia	1	4	17060	835	35.60000053	12.76	2.199999951	85.10000127	1	7.299999837	170.6093084	44.5490289		79.98467847		44.54901409		45.28918463	0.5729	27339	17033214
Australia	1	5	17340	835	38.60000058	7.709999828	2.299999949	85	1	3.199999928	173.9457392	40.15536476		82.63791543		40.15536476		44.6272122	0.55829	24635	17268607
Australia	1	6	17770	835	39.60000059	6.959999844	2.299999949	84.90000127	1	1	126.7003518	38.20918309	6.98948781	78.91767146	8.133222179	38.20920003	7.328372068	15.03798893	0.56919	58876	17493058
Australia	1	7	17500	835	41.90000062	5.859999869	2.299999949	84.90000127	1	1.79999996	215.6243791	174.8807251	6.30096339	118.9065239	11.40358405	36.72340626	7.460649904	33.08972185	0.57165	23426	17699768
Austria	2	1	12790	394	28.60000043	1.199999973	90.30000135	55.30000082	0	1.399999969	189.7812625	28.72176996		129.9609747	7.97533414	28.72176626	135.0736393	22.55276608	0.43452	58664	7575732
Austria	2	2	16860	394	29	1.229999973	90.60000135	55.30000082	0	1.899999958	212.1207167	30.4122417		168.0952668	12.17747507	30.4122484	141.5081289	91.01667036	0.43577	59289	7596081
Austria	2	3	17980	394	30.40000045	1.189999973	90.90000135	55.40000083	0	2.599999942									0.46535	62052	7623605
Austria	2	4	19310	394	31.90000048	1.149999974	92	55.40000083	0	3.299999926	256.1244483	39.65489942	11.64305808	168.2764336	4.017996515	39.65488606	183.8689996	29.84960479	0.47157	62041	7717890
Austria	2	5	20470	394	34.5	0.920000044	93	55.40000083	0	3.299999926	257.2177511	40.48356323	12.62848829	162.6794846	4.658947503	40.48351325	190.3152649	29.19241694	0.4802	61740	7808187
Austria	2	6	23170	394	36.5	0.890000042	93	55.40000083	0	4	316.6039139	48.97694967	13.39369551	182.267147	5.844307873	48.97694626	219.4261266	48.28315519	0.49715	58876	7906513
