SCHOOLID	CHILDID	GRADE	YEAR	TIME	RETAINED	SWITCH_SCHOOLS	DISADVANTAGED	TLI_MATH	MALE	ETHNICITY	RACE	FIRST_COHORT	LAST_COHORT	USI	MATH_SESSIONS	N_TEACHERS	ETHNIC
960	962	4	1999	1	0	0		84	1	hispanic	3	8	8	3	2	47	3
960	962	5	2000	2	0	0	1	90	1	hispanic	3	8	8	3	2	47	3
960	942	4	1998	1	0	0	1	65	1	hispanic	3	7	7	3	2	47	3
960	942	5	1999	2	0	0		22	1	hispanic	3	7	7	3	2	47	3
960	942	6	2000	3	0	0	0	46	1	hispanic	3	7	7	3	2	47	3
960	921	3	1998	1	0	0	1	67	0	hispanic	3	8	8	3	2	47	3
960	921	4	1999	2	0	0	1	74	0	hispanic	3	8	8	3	2	47	3
960	921	5	2000	3	0	1	1	82	0	hispanic	3	8	8	3	2	47	3
960	914	4	1998	1	0	0	1	72	1	black	2	7	7	3	2	47	2
960	914	5	1999	2	0	1	1	76	1	black	2	7	7	3	2	47	2
960	770	4	1994	1	0	0		73	0	hispanic	3	3	3	3	2	47	3
960	770	5	1995	2	0	1	1	73	0	hispanic	3	3	3	3	2	47	3
960	770	6	1996	3	0	1	1	82	0	hispanic	3	3	3	3	2	47	3
960	730	3	1994	1	0	0	1	41	0	black	2	4	4	3	2	47	2
960	730	4	1995	2	0	1	1	34	0	black	2	4	4	3	2	47	2
960	718	3	1998	1	0	0	1	54	0	black	2	8	8	3	2	47	2
960	718	4	1999	2	0	0	1	73	0	black	2	8	8	3	2	47	2
960	718	5	2000	3	0	0	1	74	0	black	2	8	8	3	2	47	2
960	603	3	1999	1	0	0		78	1	hispanic	3	9	9	3	2	47	3
960	603	4	2000	2	0	0	0	77	1	hispanic	3	9	9	3	2	47	3
960	583	3	1995	1	0	0		66	0	black	2	5	5	3	2	47	2
960	583	5	1997	3	0	1		88	0	black	2	5	5	3	2	47	2
960	583	6	1998	4	0	0	0	84	0	black	2	5	5	3	2	47	2
960	567	3	2000	1	0	0	1	52	1	hispanic	3	10	10	3	2	47	3
960	540	3	1997	1	0	0	0	84	1	black	2	7	7	3	2	47	2
960	540	4	1998	2	0	1		70	1	black	2	7	7	3	2	47	2
960	540	5	1999	3	0	1		90	1	black	2	7	7	3	2	47	2
960	540	6	2000	4	0	1		90	1	black	2	7	7	3	2	47	2
960	520	4	1998	1	0	0	1	63	0	hispanic	3	7	7	3	2	47	3
960	520	5	1999	2	0	0	1	61	0	hispanic	3	7	7	3	2	47	3
960	520	6	2000	3	0	0	1	81	0	hispanic	3	7	7	3	2	47	3
960	443	5	1994	1	0	0		78	0	white	1	2	2	3	2	47	1
960	443	6	1995	2	0	0	0	78	0	white	1	2	2	3	2	47	1
960	441	5	1994	1	0	0	1	55	0	black	2	2	2	3	2	47	2
960	441	6	1995	2	0	1	1	59	0	black	2	2	2	3	2	47	2
960	379	3	1994	1	0	0	1	50	0	black	2	4	4	3	2	47	2
960	379	4	1995	2	0	1	0	34	0	black	2	4	4	3	2	47	2
960	379	5	1996	3	0	0	1	50	0	black	2	4	4	3	2	47	2
960	379	6	1997	4	0	1	1	56	0	black	2	4	4	3	2	47	2
960	349	3	1994	1	0	0	1	22	1	black	2	4	4	3	2	47	2
960	349	4	1995	2	0	1	0	44	1	black	2	4	4	3	2	47	2
960	349	5	1996	3	0	1	1	39	1	black	2	4	4	3	2	47	2
960	349	6	1997	4	0	1	1	48	1	black	2	4	4	3	2	47	2
960	304	5	1998	1	0	0	1	67	1	hispanic	3	6	6	3	2	47	3
960	304	6	1999	2	0	0	1	73	1	hispanic	3	6	6	3	2	47	3
960	161	5	1999	1	0	0	1	45	1	hispanic	3	7	7	3	2	47	3
960	161	6	2000	2	0	1	1	53	1	hispanic	3	7	7	3	2	47	3
960	101	3	1994	1	0	0	1	56	1	black	2	4	4	3	2	47	2
960	101	4	1995	2	0	0	1	58	1	black	2	4	4	3	2	47	2
960	101	6	1997	4	0	1	1	71	1	black	2	4	4	3	2	47	2
960	83	4	1994	1	0	0	1	84	0	black	2	3	3	3	2	47	2
960	83	5	1995	2	0	1	1	75	0	black	2	3	3	3	2	47	2
960	83	6	1996	3	0	1	1	85	0	black	2	3	3	3	2	47	2
915	988	4	1997	1	0	0	1	74	1	hispanic	3	6	6	2	3	29.9	3
915	988	5	1998	2	0	0	1	71	1	hispanic	3	6	6	2	3	29.9	3
915	988	6	1999	3	0	1	1	80	1	hispanic	3	6	6	2	3	29.9	3
915	799	6	1999	1	0	0	1	83	1	hispanic	3	6	6	2	3	29.9	3
915	768	3	1998	1	0	0	1	69	1	hispanic	3	8	8	2	3	29.9	3
915	768	4	1999	2	0	0	1	61	1	hispanic	3	8	8	2	3	29.9	3
915	685	3	1997	1	0	0	1	21	0	hispanic	3	7	8	2	3	29.9	3
915	685	4	1998	2	0	0	1	39	0	hispanic	3	7	8	2	3	29.9	3
915	685	5	1999	3	0	0	1	31	0	hispanic	3	7	8	2	3	29.9	3
915	685	5	2000	4	1	0	1	62	0	hispanic	3	7	8	2	3	29.9	3
915	641	3	1999	1	0	0	1	86	1	hispanic	3	9	9	2	3	29.9	3
915	641	4	2000	2	0	0	1	88	1	hispanic	3	9	9	2	3	29.9	3
915	619	3	1998	1	0	0	1	73	0	hispanic	3	8	8	2	3	29.9	3
915	619	5	2000	3	0	0	1	90	0	hispanic	3	8	8	2	3	29.9	3
915	595	3	1997	1	0	0	1	41	1	hispanic	3	7	7	2	3	29.9	3
915	595	4	1998	2	0	0	1	46	1	hispanic	3	7	7	2	3	29.9	3
915	595	5	1999	3	0	0	1	74	1	hispanic	3	7	7	2	3	29.9	3
915	595	6	2000	4	0	0	0	74	1	hispanic	3	7	7	2	3	29.9	3
915	560	3	1997	1	0	0	1	48	0	hispanic	3	7	7	2	3	29.9	3
915	560	4	1998	2	0	0	1	54	0	hispanic	3	7	7	2	3	29.9	3
915	560	5	1999	3	0	0	0	56	0	hispanic	3	7	7	2	3	29.9	3
915	560	6	2000	4	0	0	1	62	0	hispanic	3	7	7	2	3	29.9	3
915	516	6	1994	1	0	0		36	1	hispanic	3	1	1	2	3	29.9	3
915	466	5	1994	1	0	0	0	50	1	hispanic	3	2	2	2	3	29.9	3
915	466	6	1995	2	0	0	0	59	1	hispanic	3	2	2	2	3	29.9	3
915	397	3	1994	1	0	0	1	80	0	white	1	4	4	2	3	29.9	1
915	397	4	1995	2	0	0		70	0	white	1	4	4	2	3	29.9	1
915	397	6	1997	4	0	0		85	0	white	1	4	4	2	3	29.9	1
915	346	5	1997	1	0	0	1	85	0	hispanic	3	5	5	2	3	29.9	3
915	346	6	1998	2	0	0	1	90	0	hispanic	3	5	5	2	3	29.9	3
915	301	3	1994	1	0	0	1	76	1	hispanic	3	4	4	2	3	29.9	3
915	301	4	1995	2	0	1	1	81	1	hispanic	3	4	4	2	3	29.9	3
915	301	6	1997	4	0	0	1	90	1	hispanic	3	4	4	2	3	29.9	3
915	298	3	1995	1	0	0	1	15	0	hispanic	3	5	5	2	3	29.9	3
915	290	3	1994	1	0	0	1	37	1	hispanic	3	4	4	2	3	29.9	3
915	290	6	1997	4	0	1	1	69	1	hispanic	3	4	4	2	3	29.9	3
915	227	6	1995	1	0	0	0	91	0	white	1	2	2	2	3	29.9	1
915	197	3	1994	1	0	0	0	35	1	white	1	4	4	2	3	29.9	1
915	145	5	1994	1	0	0	1	44	1	hispanic	3	2	2	2	3	29.9	3
915	145	6	1995	2	0	0	1	46	1	hispanic	3	2	2	2	3	29.9	3
915	87	3	1997	1	0	0	1	63	1	hispanic	3	7	7	2	3	29.9	3
915	87	4	1998	2	0	0	1	78	1	hispanic	3	7	7	2	3	29.9	3
915	87	5	1999	3	0	0	1	78	1	hispanic	3	7	7	2	3	29.9	3
915	87	6	2000	4	0	0	0	81	1	hispanic	3	7	7	2	3	29.9	3
915	82	6	1997	1	0	0	1	75	0	hispanic	3	4	4	2	3	29.9	3
857	945	5	1994	1	0	0	0	88	1	white	1	2	2	2	0	36.5	1
857	945	6	1995	2	0	0	0	89	1	white	1	2	2	2	0	36.5	1
857	879	3	1997	1	0	0	1	76	0	black	2	7	7	2	0	36.5	2
857	879	4	1998	2	0	0	1	67	0	black	2	7	7	2	0	36.5	2
857	879	5	1999	3	0	0	1	70	0	black	2	7	7	2	0	36.5	2
857	860	4	1996	1	0	0	1	51	0	black	2	5	5	2	0	36.5	2
857	860	5	1997	2	0	1	1	85	0	black	2	5	5	2	0	36.5	2
857	860	6	1998	3	0	0	1	79	0	black	2	5	5	2	0	36.5	2
857	756	3	1994	1	0	0	1	45	1	hispanic	3	4	4	2	0	36.5	3
857	756	4	1995	2	0	0	1	61	1	hispanic	3	4	4	2	0	36.5	3
857	756	5	1996	3	0	0	1	66	1	hispanic	3	4	4	2	0	36.5	3
857	756	6	1997	4	0	1	1	72	1	hispanic	3	4	4	2	0	36.5	3
857	709	3	1998	1	0	0	1	79	0	hispanic	3	8	8	2	0	36.5	3
857	709	4	1999	2	0	1		68	0	hispanic	3	8	8	2	0	36.5	3
857	709	5	2000	3	0	1	1	67	0	hispanic	3	8	8	2	0	36.5	3
857	693	3	1996	1	0	0	0	70	0	black	2	6	6	2	0	36.5	2
857	693	4	1997	2	0	0	0	79	0	black	2	6	6	2	0	36.5	2
857	693	5	1998	3	0	0		82	0	black	2	6	6	2	0	36.5	2
857	693	6	1999	4	0	0		79	0	black	2	6	6	2	0	36.5	2
857	648	3	1999	1	0	0	1	78	1	black	2	9	9	2	0	36.5	2
857	648	4	2000	2	0	0	1	58	1	black	2	9	9	2	0	36.5	2
857	579	3	1997	1	0	0		91	1	other	4	7	7	2	0	36.5	4
