SCHOOLID	CHILDID	GRADE	YEAR	TIME	RETAINED	SWITCH_SCHOOLS	DISADVANTAGED	TLI_MATH	MALE	ETHNICITY	RACE	FIRST_COHORT	LAST_COHORT	USI	MATH_SESSIONS	N_TEACHERS	ETHNIC
57905101	58515	4	1999	1	0	0		84	1	hispanic	3	8	8	3	2	47	3
57905101	58515	5	2000	2	0	0	1	90	1	hispanic	3	8	8	3	2	47	3
57905101	74093	4	1998	1	0	0	1	65	1	hispanic	3	7	7	3	2	47	3
57905101	74093	5	1999	2	0	0		22	1	hispanic	3	7	7	3	2	47	3
57905101	74093	6	2000	3	0	0	0	46	1	hispanic	3	7	7	3	2	47	3
57905101	95266	3	1998	1	0	0	1	67	0	hispanic	3	8	8	3	2	47	3
57905101	95266	4	1999	2	0	0	1	74	0	hispanic	3	8	8	3	2	47	3
57905101	95266	5	2000	3	0	1	1	82	0	hispanic	3	8	8	3	2	47	3
57905101	97289	4	1998	1	0	0	1	72	1	black	2	7	7	3	2	47	2
57905101	97289	5	1999	2	0	1	1	76	1	black	2	7	7	3	2	47	2
57905101	368126	4	1994	1	0	0		73	0	hispanic	3	3	3	3	2	47	3
57905101	368126	5	1995	2	0	1	1	73	0	hispanic	3	3	3	3	2	47	3
57905101	368126	6	1996	3	0	1	1	82	0	hispanic	3	3	3	3	2	47	3
57905101	505464	3	1994	1	0	0	1	41	0	black	2	4	4	3	2	47	2
57905101	505464	4	1995	2	0	1	1	34	0	black	2	4	4	3	2	47	2
57905101	537903	3	1998	1	0	0	1	54	0	black	2	8	8	3	2	47	2
57905101	537903	4	1999	2	0	0	1	73	0	black	2	8	8	3	2	47	2
57905101	537903	5	2000	3	0	0	1	74	0	black	2	8	8	3	2	47	2
57905101	991020	3	1999	1	0	0		78	1	hispanic	3	9	9	3	2	47	3
57905101	991020	4	2000	2	0	0	0	77	1	hispanic	3	9	9	3	2	47	3
57905101	1051240	3	1995	1	0	0		66	0	black	2	5	5	3	2	47	2
57905101	1051240	5	1997	3	0	1		88	0	black	2	5	5	3	2	47	2
57905101	1051240	6	1998	4	0	0	0	84	0	black	2	5	5	3	2	47	2
57905101	1251698	3	2000	1	0	0	1	52	1	hispanic	3	10	10	3	2	47	3
57905101	1340192	3	1997	1	0	0	0	84	1	black	2	7	7	3	2	47	2
57905101	1340192	4	1998	2	0	1		70	1	black	2	7	7	3	2	47	2
57905101	1340192	5	1999	3	0	1		90	1	black	2	7	7	3	2	47	2
57905101	1340192	6	2000	4	0	1		90	1	black	2	7	7	3	2	47	2
57905101	1493839	4	1998	1	0	0	1	63	0	hispanic	3	7	7	3	2	47	3
57905101	1493839	5	1999	2	0	0	1	61	0	hispanic	3	7	7	3	2	47	3
57905101	1493839	6	2000	3	0	0	1	81	0	hispanic	3	7	7	3	2	47	3
57905101	2144773	5	1994	1	0	0		78	0	white	1	2	2	3	2	47	1
57905101	2144773	6	1995	2	0	0	0	78	0	white	1	2	2	3	2	47	1
57905101	2149818	5	1994	1	0	0	1	55	0	black	2	2	2	3	2	47	2
57905101	2149818	6	1995	2	0	1	1	59	0	black	2	2	2	3	2	47	2
57905101	2326811	3	1994	1	0	0	1	50	0	black	2	4	4	3	2	47	2
