MS	HH	DEPEND	AGE	F1040A	F1040EZ	TPI	TXRT	MR	EMP	PREP	TAX	SUBJECT	TIME	LNTPI	LNTAX
1	0	2	0	0	0	25858.03125	25	25	0	0	3593.782471	1	1	10.16037655	8.187238693
1	0	5	0	0	0	24851.8125	22	22	0	0	2308.80835	2	1	10.12068558	7.744919777
0	0	1	0	0	1	2091.19165	0	0	0	0	0	3	1	7.645489216	0
0	0	1	0	0	0	8413.47168	16	17	0	1	534.7150269	4	1	9.037589073	6.283602238
1	0	2	0	0	0	26017.61719	25	25	0	0	3081.865234	5	1	10.1665287	8.033615112
1	0	5	0	0	0	62295.33594	39	44	0	0	11160.62207	6	1	11.03964138	9.320236206
1	0	2	1	0	0	23486.00977	19	22	1	1	1736.787598	7	1	10.06416035	7.460368156
1	0	2	0	0	0	117524.3516	49	50	0	0	24290.15625	8	1	11.67440128	10.09786797
1	0	3	0	0	0	18743.00586	19	19	0	1	1509.844604	9	1	9.838576317	7.32042408
0	0	1	0	1	0	10027.97949	19	19	0	0	996.8911743	10	1	9.213134766	6.905644417
0	0	1	0	0	1	15659.06738	23	23	0	0	2206.217529	11	1	9.658805847	7.699488163
0	0	1	0	0	1	123.3160629	0	0	0	0	0	12	1	4.814750671	0
1	0	2	1	0	0	26016.58008	25	25	0	0	3218.652832	13	1	10.1664896	8.077029228
1	0	6	0	0	0	34304.66406	25	29	0	1	3348.186523	14	1	10.44303703	8.116473198
1	0	2	0	0	0	26277.7207	25	25	1	0	3697.409424	15	1	10.17647648	8.215658188
0	0	1	0	0	0	23555.43945	23	31	0	1	1830.051758	16	1	10.06711197	7.512645721
0	1	2	0	0	0	8372.020508	12	14	0	0	0	17	1	9.032650948	0
1	0	2	0	0	0	66471.5	33	49	1	1	5278.756348	18	1	11.10452843	8.571635246
1	0	4	0	0	0	28136.78711	22	25	0	1	2947.150146	19	1	10.24483299	7.988933086
1	0	2	0	0	0	417145.0625	50	50	0	1	90455.96094	20	1	12.94118977	11.41262913
1	0	3	0	0	0	42351.29688	33	39	0	0	6178.238281	21	1	10.65375423	8.7289505
1	0	2	0	0	0	34160.62109	25	33	0	0	3762.694336	22	1	10.43882847	8.233156204
1	0	4	0	0	0	22570.98438	19	22	0	0	1726.424927	23	1	10.02442074	7.454387188
0	0	1	0	1	0	18643.52344	27	27	0	0	2938.860107	24	1	9.83325386	7.986117363
0	0	1	0	0	0	9709.844727	0	17	1	0	0	25	1	9.180895805	0
1	0	2	1	0	0	26166.83984	14	25	1	1	0	26	1	10.17224789	0
1	0	2	0	0	0	18185.49219	16	19	0	1	687.0466309	27	1	9.808379173	6.533856392
0	1	2	0	1	0	6311.916992	12	12	0	0	0	28	1	8.75019455	0
0	0	1	0	1	0	22539.89648	31	31	0	1	4136.787598	29	1	10.02304173	8.327916145
0	0	1	0	0	1	4072.538818	12	12	0	0	79.7927475	30	1	8.312022209	4.391887188
0	0	2	0	1	0	9017.616211	17	17	0	0	609.326416	31	1	9.106935501	6.413993835
0	1	3	0	0	0	19462.17578	22	23	0	1	2103.626953	32	1	9.876228333	7.651893616
0	0	1	0	1	0	13850.77734	19	22	0	0	1263.212402	33	1	9.536096573	7.142204762
0	0	1	0	0	0	3998.963623	16	12	0	1	344.0414429	34	1	8.293790817	5.843664646
1	0	2	1	0	0	20840.41406	22	22	0	1	2103.626953	35	1	9.944649696	7.651893616
0	0	1	0	0	0	24889.11914	23	31	1	0	2182.383301	36	1	10.12218571	7.688631058
1	0	4	0	0	0	43478.75781	33	39	0	0	7186.52832	37	1	10.68002796	8.880103111
1	0	2	0	1	0	11348.18652	16	16	0	1	768.9119263	38	1	9.336812973	6.646275997
1	0	5	0	0	0	9022.797852	12	12	1	1	0	39	1	9.107509613	0
0	0	1	0	0	1	11847.66797	19	19	0	0	1361.658081	40	1	9.379886627	7.21719265
1	0	2	0	0	0	29213.4707	25	29	0	1	4111.916992	41	1	10.28238487	8.32188797
1	0	6	0	0	0	133025.9063	49	50	0	1	29139.89648	42	1	11.79829884	10.27989769
1	0	6	0	1	0	19987.56445	19	19	0	0	1480.828979	43	1	9.90286541	7.301032543
1	0	3	0	1	0	20854.92188	22	22	0	0	2297.409424	44	1	9.945344925	7.739972591
1	0	4	0	0	0	41904.66406	25	39	0	1	3023.834229	45	1	10.64315224	8.014611244
0	1	2	0	0	0	43481.86719	41	41	0	1	8644.55957	46	1	10.68009949	9.064801216
1	0	5	0	0	0	25067.35742	19	22	1	1	1815.544067	47	1	10.12932205	7.504691124
0	0	1	0	1	0	8986.52832	16	17	0	0	617.6165771	48	1	9.103482246	6.427485466
1	0	2	0	0	0	21234.19727	19	22	0	0	2012.435181	49	1	9.963368416	7.607597828
1	0	6	0	0	0	149401.0313	50	50	0	1	31243.52344	50	1	11.91438961	10.34959984
0	0	1	0	0	1	18791.70898	27	27	0	0	3009.326416	51	1	9.841171265	8.009803772
1	0	2	0	0	0	40625.90625	39	39	0	1	8207.253906	52	1	10.61216164	9.012895584
1	0	2	0	0	0	34632.125	29	33	0	0	4476.684082	53	1	10.45253658	8.406861305
0	1	2	0	0	0	26725.38867	28	32	0	0	4088.083008	54	1	10.19336891	8.316076279
1	0	2	0	0	0	23875.64844	25	25	0	0	3075.647705	55	1	10.08061409	8.031596184
0	1	2	0	0	0	9688.083008	16	16	0	0	468.3937683	56	1	9.17865181	6.151442051
1	0	2	1	1	0	11953.36816	16	16	0	0	719.1709595	57	1	9.388768196	6.579488754
1	0	3	0	1	0	25354.4043	25	25	0	0	3360.621826	58	1	10.14070797	8.120179176
0	0	2	0	0	0	41844.55859	33	39	0	1	7056.994629	59	1	10.64171696	8.861916542
0	0	1	0	0	1	3678.756592	12	12	0	0	26.94300461	60	1	8.210330009	3.330166817
1	0	1	0	0	0	18032.125	33	33	0	0	3051.813477	61	1	9.799910545	8.02381897
0	0	1	0	0	0	29630.05273	35	35	0	0	6163.730469	62	1	10.29654408	8.726599693
1	0	4	0	0	0	50908.80859	39	39	0	1	10023.83398	63	1	10.83779144	9.212821007
1	0	2	0	0	0	52148.1875	29	44	0	0	4250.777344	64	1	10.86184502	8.355092049
1	0	2	0	0	0	74754.40625	44	49	0	1	14549.22266	65	1	11.22196388	9.585361481
0	0	1	0	0	1	8659.067383	17	17	0	0	784.4559326	66	1	9.066362381	6.666264534
1	0	6	0	0	0	18910.88086	12	19	0	1	15.54404163	67	1	9.847493172	2.806025982
1	0	3	0	0	0	169386.5313	50	50	1	1	55564.76563	68	1	12.03993893	10.92532253
0	0	1	0	0	1	5732.642578	16	16	0	0	302.5906677	69	1	8.653931618	5.715680122
1	0	3	0	0	0	32843.52344	29	29	1	1	4497.40918	70	1	10.39950943	8.411478996
0	0	1	0	0	1	6919.170898	16	16	0	1	493.2642517	71	1	8.842051506	6.203070164
1	0	3	0	0	0	53563.73047	33	44	0	0	7306.73584	72	1	10.88862705	8.896688461
0	0	1	0	0	1	4197.927246	12	12	0	0	96.3730545	73	1	8.342346191	4.578549385
1	0	2	0	0	0	55679.79297	44	44	0	1	13450.77734	74	1	10.92737293	9.506866455
1	0	2	0	1	0	21669.42969	22	22	0	0	2753.36792	75	1	9.983657837	7.92094326
1	0	3	0	1	0	26180.31055	25	25	0	0	3581.347168	76	1	10.17276287	8.183773041
1	0	3	0	1	0	12166.83984	16	16	0	0	752.331604	77	1	9.406469345	6.62450552
1	0	2	0	0	0	14328.49707	16	16	0	1	1224.870483	78	1	9.570005417	7.111406326
0	1	2	0	1	0	5745.077637	12	12	0	0	0	79	1	8.656098366	0
0	0	1	0	0	0	9045.595703	14	17	0	1	256.994812	80	1	9.110033035	5.552939415
1	0	3	0	0	0	42957.51172	33	39	0	0	6297.40918	81	1	10.66796684	8.748052597
0	0	1	1	0	0	10059.06738	17	17	0	1	845.5958252	82	1	9.216229439	6.741223335
1	0	2	0	0	0	61313.98828	39	44	1	1	0	83	1	11.02376366	0
1	0	4	0	0	0	47442.48828	39	39	0	1	9280.829102	84	1	10.7672739	9.135813713
1	0	1	0	0	0	2893.26416	12	12	0	0	11.39896393	85	1	7.970140457	2.517612934
1	0	4	0	0	0	38552.33203	29	33	0	1	4287.046875	86	1	10.55977154	8.363586426
1	0	5	0	0	0	16032.12402	16	16	0	1	569.9481812	87	1	9.682350159	6.347298622
1	0	2	0	0	0	151910.875	50	50	1	1	52839.37891	88	1	11.93104935	10.87503052
1	0	3	0	0	0	51941.96875	39	44	0	0	7618.652832	89	1	10.8578825	8.938486099
0	0	1	0	1	0	10321.24316	19	19	0	1	1075.647705	90	1	9.241959572	6.981607437
0	0	1	0	0	0	11731.60645	22	19	0	0	1737.823853	91	1	9.370041847	7.460964203
0	0	1	0	0	0	8164.766602	0	17	0	1	0	92	1	9.007583618	0
0	0	1	0	0	1	11265.28516	19	19	0	0	1252.849731	93	1	9.329481125	7.133974075
1	0	6	0	0	0	23992.74609	22	22	1	1	0	94	1	10.08550644	0
1	0	5	0	0	0	31669.42969	29	29	0	1	4012.435303	95	1	10.36310673	8.297402382
1	0	5	0	0	0	35695.33594	29	29	0	1	4614.507813	96	1	10.48277569	8.437176704
1	0	3	0	1	0	7923.315918	12	12	0	0	0	97	1	8.977564812	0
1	0	2	0	0	0	25121.24414	22	25	0	1	2331.606201	98	1	10.13146877	7.754741669
1	0	5	0	0	0	30705.69922	25	29	0	0	3006.217529	99	1	10.33220387	8.008770943
0	0	1	1	0	0	21018.65234	27	31	0	1	2491.19165	100	1	9.953166008	7.820917606
0	0	1	1	0	0	26456.99414	22	35	0	1	1532.642456	101	1	10.18327618	7.335401058
0	0	1	0	0	1	1935.751343	0	0	0	1	0	102	1	7.568250656	0
0	0	1	0	0	1	12351.29492	22	22	0	0	1464.248657	103	1	9.421516418	7.28978014
0	0	1	0	0	1	11648.70508	19	19	0	0	1322.279785	104	1	9.362950325	7.187868595
0	0	1	0	0	0	26312.95313	35	35	0	0	5266.321289	105	1	10.17781639	8.56927681
0	0	1	0	0	1	10674.61133	19	19	0	0	1145.077759	106	1	9.275623322	7.044100761
0	0	1	0	0	0	30891.19141	35	40	0	0	6681.865234	107	1	10.33822632	8.807302475
0	0	1	0	0	1	2419.689209	0	0	0	0	0	108	1	7.791394234	0
0	1	2	0	1	0	14063.21289	20	20	0	0	1526.424927	109	1	9.551317215	7.331338406
1	0	2	0	0	0	44088.08203	39	39	0	0	8931.606445	110	1	10.69394493	9.097463608
0	1	2	0	0	0	21876.68359	28	28	0	0	3303.626953	111	1	9.99317646	8.103078842
1	0	4	0	0	0	33053.88672	25	29	0	0	3726.424805	112	1	10.40589428	8.223472595
1	0	2	0	0	0	24757.51367	25	25	0	1	3477.720215	113	1	10.11688423	8.154419899
1	0	2	0	0	0	38059.06641	33	33	0	1	7152.331543	114	1	10.54689503	8.875333786
1	0	2	0	0	0	24381.34766	16	25	1	1	1148.186523	115	1	10.10157394	7.046809673
0	1	3	0	1	0	18861.14063	23	23	0	0	2356.476563	116	1	9.844859123	7.765347004
0	0	1	0	0	0	26746.11328	31	35	0	1	4442.486816	117	1	10.19414425	8.399194717
0	0	1	0	0	0	10255.95898	16	19	0	0	534.7150269	118	1	9.235613823	6.283602238
1	0	4	0	1	0	23918.13477	22	22	0	0	2787.564697	119	1	10.08239269	7.933282375
1	0	2	1	0	0	98117.10156	49	50	0	0	26248.70508	120	1	11.49391651	10.17541027
0	0	1	0	0	0	28303.62695	31	35	0	1	3590.673584	121	1	10.25074482	8.186373711
1	0	6	0	0	0	10498.44531	0	0	1	1	0	122	1	9.258982658	0
1	0	5	0	0	0	38244.55859	33	33	0	0	5852.849609	123	1	10.55175686	8.674855232
1	0	2	0	1	0	28166.83984	29	29	0	0	4280.829102	124	1	10.24590111	8.362135887
1	0	5	0	0	0	29690.15625	22	25	0	0	2145.077637	125	1	10.29857063	7.671397209
0	1	2	0	1	0	9249.741211	16	16	0	0	496.3730469	126	1	9.132350922	6.209340572
1	0	4	0	0	0	18623.83398	16	19	1	1	1216.580322	127	1	9.832197189	7.104620934
