CUSIP	PERMNO	PERMCO	HSICCD	TICKER	COMNAM	DATE	PRC	RET	VWRETD	SPRTRN	qyear	qmonth	qday	riskf	retfree	vwfree	spfree	Time
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31JAN1995	35.25	3.67647074	2.055579	2.427766	1995	1	31	0.4335	3.24297074	1.622079	1.994266	1
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	28FEB1995	39	10.63829809	3.962284	3.607415	1995	2	28	0.4199166667	10.218381423	3.5423673333	3.1874983333	2
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31MAR1995	40.5	3.84615399	2.698227	2.732924	1995	3	31	0.4829166667	3.3632373233	2.2153103333	2.2500073333	3
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	28APR1995	41	1.23456791	2.488283	2.79603	1995	4	28	0.4795	0.75506791	2.008783	2.31653	4
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31MAY1995	52.75	28.65853608	3.414649	3.631171	1995	5	31	0.4719166667	28.186619413	2.9427323333	3.1592543333	5
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	30JUN1995	13	-1.4218009	3.084069	2.127859	1995	6	30	0.4455	-1.8673009	2.638569	1.682359	6
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31JUL1995	15.375	18.26923043	4.066735	3.177604	1995	7	31	0.4555833333	17.813647097	3.6111516667	2.7220206667	7
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31AUG1995	14.75	-4.0650405	0.9342693	-0.0320251	1995	8	31	0.449	-4.5140405	0.4852693	-0.4810251	8
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	29SEP1995	14	-5.0847456	3.639053	4.009753	1995	9	29	0.4480833333	-5.532828933	3.1909696667	3.5616696667	9
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31OCT1995	17	21.42857164	-1.114542	-0.4979381	1995	10	31	0.4199166667	21.008654973	-1.534458667	-0.917854767	10
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	30NOV1995	17.375	2.20588241	4.297101	4.104901	1995	11	30	0.45325	1.75263241	3.843851	3.651651	11
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	29DEC1995	18.875	8.63309354	1.539985	1.744388	1995	12	29	0.3835833333	8.2495102067	1.1564016667	1.3608046667	12
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31JAN1996	23	21.85430527	2.808744	3.261734	1996	1	31	0.4125	21.44180527	2.396244	2.849234	13
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	29FEB1996	22.25	-3.2608695	1.605816	0.6933744	1996	2	29	0.4166666667	-3.677536167	1.1891493333	0.2767077333	14
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	29MAR1996	22.125	-0.5617978	1.120208	0.7916556	1996	3	29	0.4345	-0.9962978	0.685708	0.3571556	15
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	30APR1996	21.125	-4.519774	2.512533	1.343145	1996	4	30	0.40725	-4.927024	2.105283	0.935895	16
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	31MAY1996	21.625	2.36686394	2.672205	2.285339	1996	5	31	0.4209166667	1.9459472733	2.2512883333	1.8644223333	17
90273710	10085	8029	6321	UICI	UNITED INSURANCE COS INC	28JUN1996	22.75	5.20231202	-0.7659201	0.2256695	1996	6	28	0.4030833333	4.7992286867	-1.169003433	-0.177413833	18
90273710	10085	8029	6321	UICI	UICI	31JUL1996	21.75	-4.3956045	-5.339026	-4.574803	1996	7	31	0.421	-4.8166045	-5.760026	-4.995803	19
90273710	10085	8029	6321	UICI	UICI	30AUG1996	23.125	6.32183924	3.222239	1.881397	1996	8	30	0.4276666667	5.8941725733	2.7945723333	1.4537303333	20
90273710	10085	8029	6321	UICI	UICI	30SEP1996	26	12.43243217	5.299181	5.417261	1996	9	30	0.4174166667	12.015015503	4.8817643333	4.9998443333	21
90273710	10085	8029	6321	UICI	UICI	31OCT1996	25.5	-1.923077	1.393774	2.613086	1996	10	31	0.4143333333	-2.337410333	0.9794406667	2.1987526667	22
90273710	10085	8029	6321	UICI	UICI	29NOV1996	28	9.80392173	6.572963	7.337615	1996	11	29	0.41325	9.39067173	6.159713	6.924365	23
90273710	10085	8029	6321	UICI	UICI	31DEC1996	32.5	16.07142836	-1.136152	-2.150538	1996	12	31	0.407	15.66442836	-1.543152	-2.557538	24
90273710	10085	8029	6321	UICI	UICI	31JAN1997	29.875	-8.0769233	5.303951	6.131706	1997	1	31	0.415	-8.4919233	4.888951	5.716706	25
90273710	10085	8029	6321	UICI	UICI	28FEB1997	29.5	-1.2552301	-0.0888769	0.5927547	1997	2	28	0.4221666667	-1.677396767	-0.511043567	0.1705880333	26
90273710	10085	8029	6321	UICI	UICI	31MAR1997	22.875	-22.4576265	-4.439577	-4.2614	1997	3	31	0.4360833333	-22.89370983	-4.875660333	-4.697483333	27
90273710	10085	8029	6321	UICI	UICI	30APR1997	27.5	20.21857947	4.248022	5.840554	1997	4	30	0.41675	19.80182947	3.831272	5.423804	28
90273710	10085	8029	6321	UICI	UICI	30MAY1997	26.875	-2.2727273	7.1263	5.857688	1997	5	30	0.36875	-2.6414773	6.75755	5.488938	29
90273710	10085	8029	6321	UICI	UICI	30JUN1997	29.5	9.7674422	4.419938	4.345263	1997	6	30	0.42125	9.3461922	3.998688	3.924013	30
90273710	10085	8029	6321	UICI	UICI	31JUL1997	31.25	5.93220331	7.631584	7.812323	1997	7	31	0.4273333333	5.5048699767	7.2042506667	7.3849896667	31
90273710	10085	8029	6321	UICI	UICI	29AUG1997	30	-3.9999999	-3.645599	-5.744585	1997	8	29	0.419	-4.4189999	-4.064599	-6.163585	32
90273710	10085	8029	6321	UICI	UICI	30SEP1997	28.75	-4.1666668	5.800938	5.315352	1997	9	30	0.3965833333	-4.563250133	5.4043546667	4.9187686667	33
90273710	10085	8029	6321	UICI	UICI	31OCT1997	33.5	16.52173847	-3.411617	-3.447766	1997	10	31	0.4085833333	16.113155137	-3.820200333	-3.856349333	34
90273710	10085	8029	6321	UICI	UICI	28NOV1997	35.875	7.08955228	3.111925	4.458682	1997	11	28	0.4166666667	6.6728856133	2.6952583333	4.0420153333	35
90273710	10085	8029	6321	UICI	UICI	31DEC1997	34.875	-2.7874565	1.797892	1.573163	1997	12	31	0.4265	-3.2139565	1.371392	1.146663	36
90273710	10085	8029	6321	UICI	UICI	30JAN1998	32.6875	-6.2724017	0.4423167	1.015014	1998	1	30	0.4196666667	-6.692068367	0.0226500333	0.5953473333	37
90273710	10085	8029	6321	UICI	UICI	27FEB1998	32.125	-1.7208412	7.282165	7.044926	1998	2	27	0.4276666667	-2.148507867	6.8544983333	6.6172593333	38
90273710	10085	8029	6321	UICI	UICI	31MAR1998	34.5625	7.58754835	5.135155	4.994568	1998	3	31	0.4366666667	7.1508816833	4.6984883333	4.5579013333	39
90273710	10085	8029	6321	UICI	UICI	30APR1998	29	-16.0940319	1.093683	0.9076469	1998	4	30	0.3948333333	-16.48886523	0.6988496667	0.5128135667	40
90273710	10085	8029	6321	UICI	UICI	29MAY1998	28.125	-3.0172413	-2.545036	-1.882617	1998	5	29	0.3814166667	-3.398657967	-2.926452667	-2.264033667	41
